arm,group,metric,task,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_excluded_non_terminating,mae_delta,ci_low,ci_high,p_value,bh_significant,bh_significant_global
main_sweep,gemma4-12b,mae,node_count,clustering,,False,excluded,mae/gemma4-12b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b,mae,node_count,components,,False,excluded,mae/gemma4-12b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b,mae,node_count,degree,,False,excluded,mae/gemma4-12b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b,mae,node_count,filler,,False,excluded,mae/gemma4-12b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b,mae,node_count,rwse,,False,excluded,mae/gemma4-12b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b,mae,node_count,all,,True,excluded,mae/gemma4-12b/node_count/derived,30,30,0,-0.0,-0.0,-0.0,1.0,False,
main_sweep,gemma4-12b,mae,edge_count,clustering,,False,excluded,mae/gemma4-12b/edge_count,29,29,1,0.10344827586206896,-0.20689655172413793,0.5172413793103449,1.0,False,False
main_sweep,gemma4-12b,mae,edge_count,components,,False,excluded,mae/gemma4-12b/edge_count,30,30,0,-0.26666666666666666,-0.6666666666666666,-0.0,0.24167583241675833,False,False
main_sweep,gemma4-12b,mae,edge_count,degree,,False,excluded,mae/gemma4-12b/edge_count,30,30,0,0.5,-0.0,1.3333333333333333,0.4978502149785021,False,False
main_sweep,gemma4-12b,mae,edge_count,filler,,False,excluded,mae/gemma4-12b/edge_count,29,29,1,-0.10344827586206896,-0.27586206896551724,-0.0,0.49225077492250774,False,False
main_sweep,gemma4-12b,mae,edge_count,rwse,,False,excluded,mae/gemma4-12b/edge_count,29,29,1,0.10344827586206896,-0.20689655172413793,0.5172413793103449,1.0,False,False
main_sweep,gemma4-12b,mae,edge_count,all,,True,excluded,mae/gemma4-12b/edge_count/derived,30,30,0,0.3,-0.43333333333333335,1.1666666666666667,0.7467253274672533,False,
main_sweep,gemma4-12b,mae,node_degree,clustering,,False,excluded,mae/gemma4-12b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b,mae,node_degree,components,,False,excluded,mae/gemma4-12b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b,mae,node_degree,degree,,False,excluded,mae/gemma4-12b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b,mae,node_degree,filler,,False,excluded,mae/gemma4-12b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b,mae,node_degree,rwse,,False,excluded,mae/gemma4-12b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b,mae,node_degree,all,,True,excluded,mae/gemma4-12b/node_degree/derived,30,30,0,-0.0,-0.0,-0.0,1.0,False,
main_sweep,gemma4-e4b,mae,node_count,clustering,,False,excluded,mae/gemma4-e4b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
