index,num_nodes,num_edges,density,degree_mean,degree_std,degree_min,degree_max,component_count,circuit_rank,is_tree,is_forest,is_bipartite,has_isolated_node,triangle_count,is_triangle_free,clustering_mean,size_bucket
0,18,115,0.7516339869281046,12.777777777777779,1.227262335243029,11,15,1,98,False,False,False,False,335,False,0.7360676360676361,large
1,10,14,0.3111111111111111,2.8,1.469693845669907,0,5,2,6,False,False,False,True,4,False,0.24666666666666665,medium
2,9,2,0.05555555555555555,0.4444444444444444,0.6849348892187752,0,2,7,0,False,True,True,True,0,True,0.0,small
3,11,32,0.5818181818181818,5.818181818181818,1.3360853142453697,4,8,1,22,False,False,False,False,29,False,0.48896103896103893,medium
4,8,11,0.39285714285714285,2.75,1.7853571071357126,0,5,2,5,False,False,False,True,7,False,0.4791666666666667,small
5,17,91,0.6691176470588235,10.705882352941176,1.871291025951396,7,14,1,75,False,False,False,False,203,False,0.6612237435766847,large
6,19,37,0.21637426900584794,3.8947368421052633,2.023408714393798,0,7,2,20,False,False,False,True,9,False,0.19473684210526318,large
7,8,25,0.8928571428571429,6.25,0.6614378277661477,5,7,1,18,False,False,False,False,39,False,0.8839285714285714,small
8,18,32,0.20915032679738563,3.5555555555555554,1.8324913891634047,0,7,2,16,False,False,False,True,8,False,0.14656084656084656,large
9,5,7,0.7,2.8,0.7483314773547882,2,4,1,3,False,False,False,False,3,False,0.7666666666666666,small
10,9,36,1.0,8.0,0.0,8,8,1,28,False,False,False,False,84,False,1.0,small
11,6,8,0.5333333333333333,2.6666666666666665,0.4714045207910317,2,3,1,3,False,False,False,False,2,False,0.3333333333333333,small
12,12,51,0.7727272727272727,8.5,0.9574271077563381,7,10,1,40,False,False,False,False,97,False,0.7561507936507937,medium
13,17,10,0.07352941176470588,1.1764705882352942,1.1496953109230625,0,4,8,1,False,False,False,True,1,False,0.08823529411764706,large
14,9,3,0.08333333333333333,0.6666666666666666,0.6666666666666666,0,2,6,0,False,True,True,True,0,True,0.0,small
15,13,29,0.3717948717948718,4.461538461538462,1.692307692307692,1,7,1,17,False,False,False,False,15,False,0.4336996336996337,medium
16,18,45,0.29411764705882354,5.0,1.6666666666666667,3,10,1,28,False,False,False,False,20,False,0.2908289241622575,large
17,17,95,0.6985294117647058,11.176470588235293,2.120912514978817,6,14,1,79,False,False,False,False,239,False,0.7218474336121394,large
18,14,65,0.7142857142857143,9.285714285714286,1.5319721849662296,6,11,1,52,False,False,False,False,132,False,0.7222119150690579,medium
19,19,34,0.19883040935672514,3.5789473684210527,1.497920996921864,1,6,1,16,False,False,False,False,7,False,0.18596491228070178,large
20,14,37,0.4065934065934066,5.285714285714286,2.4032291201801033,1,9,1,24,False,False,False,False,37,False,0.5167800453514738,medium
21,16,80,0.6666666666666666,10.0,1.224744871391589,8,12,1,65,False,False,False,False,155,False,0.6337256493506493,large
22,14,5,0.054945054945054944,0.7142857142857143,0.8806305718527109,0,2,10,1,False,False,False,True,1,False,0.21428571428571427,medium
23,16,54,0.45,6.75,1.713913650100261,3,10,1,39,False,False,False,False,48,False,0.4612103174603175,large
24,10,32,0.7111111111111111,6.4,1.624807680927192,2,8,1,23,False,False,False,False,48,False,0.799047619047619,medium
25,7,6,0.2857142857142857,1.7142857142857142,0.880630571852711,0,3,2,1,False,False,True,True,0,True,0.0,small
26,13,76,0.9743589743589743,11.692307692307692,0.605692913385524,10,12,1,64,False,False,False,False,265,False,0.9766899766899766,medium
27,7,20,0.9523809523809523,5.714285714285714,0.4517539514526256,5,6,1,14,False,False,False,False,30,False,0.9523809523809524,small
