feature,is_boolean,original_mean,new_mean,full_mean,observed_diff,p_value,n_original,n_new,bh_significant
num_nodes,False,12.833333333333334,12.342553191489362,12.372,-0.4907801418439721,0.5516448355164484,30,470,False
num_edges,False,37.03333333333333,39.97021276595745,39.794,2.936879432624117,0.6824317568243176,30,470,False
density,False,0.48636806491295653,0.501813096019176,0.5008863941528028,0.015445031106220086,0.7845215478452154,30,470,False
degree_mean,False,5.408804768789289,5.7200279401522724,5.701354549870494,0.3112231713629905,0.6999300069993001,30,470,False
degree_std,False,1.2631353881928191,1.1644461815908786,1.1703675339869952,-0.09868920660194158,0.31086891310868914,30,470,False
component_count,False,2.066666666666667,2.0936170212765957,2.092,0.026950354609928784,0.973002699730027,30,470,False
circuit_rank,False,26.266666666666666,29.72127659574468,29.514,3.454609929078014,0.5932406759324068,30,470,False
triangle_count,False,61.1,89.71063829787234,87.994,28.610638297872335,0.33066693330666935,30,470,False
clustering_mean,False,0.47280282144949026,0.47506372612888137,0.47492807184811797,0.0022609046793912735,0.9748025197480252,30,470,False
is_tree,True,0.0,0.006382978723404255,0.006,0.006382978723404255,1.0,30,470,False
is_forest,True,0.06666666666666667,0.17446808510638298,0.168,0.10780141843971631,0.13988601139886012,30,470,False
is_bipartite,True,0.1,0.18936170212765957,0.184,0.08936170212765956,0.2400759924007599,30,470,False
has_isolated_node,True,0.3,0.2553191489361702,0.258,-0.044680851063829796,0.6653334666533347,30,470,False
is_triangle_free,True,0.1,0.19787234042553192,0.192,0.09787234042553192,0.2338766123387661,30,470,False
